Contract_code,contract_type,City,town,building_type,Region,application,area,percent,price,price_per_mm,age,Skeleton_type,time,Postal_code
19178495,Contr_letter,Qom,Qom,apartment,,Residential,129.5,100,15080000,116447.88,0,concrete,1399/04/21,371679
19179799,Contr_letter,Qom,Qom,apartment,8,Residential,80,100,3900000,48750,6,metallic_&_concrete,1399/04/21,374967
19179812,Contr_letter,Qom,Qom,apartment,,Residential,81.5,100,4820000,59141.1,12,concrete,1399/04/21,374913
19180076,Contr_letter,Qom,Qom,apartment,8,Residential,74,100,3350000,45270.27,6,concrete,1399/04/21,371131
19180189,Contr_letter,Qom,Qom,apartment,,Residential,245,100,35000000,142857.14,0,concrete,1399/04/21,371665
19180585,Contr_letter,Qom,Qom,apartment,,Residential,125,100,14250000,114000,0,concrete,1399/04/21,371345
19180804,Contr_letter,Qom,Qom,apartment,1,Residential,103.45,100,14100000,136297.73,9,metallic,1399/04/21,371367
19181497,Contr_letter,Qom,Qom,apartment,,Residential,59.52,100,1830000,30745.97,14,concrete,1399/04/21,371596
19181684,Contr_letter,Qom,Qom,apartment,,Residential,58.39,100,3800000,65079.64,17,concrete,1399/04/21,371486
19181904,Contr_letter,Qom,Qom,apartment,4,Residential,79.75,100,6850000,85893.42,10,metallic_&_concrete,1399/04/21,371313
19181971,Contr_letter,Qom,Qom,apartment,8,Residential,182.39,100,14900000,81693.08,5,concrete,1399/04/21,371165
19182101,Contr_letter,Qom,Qom,apartment,,Residential,89.98,100,6310000,70126.69,4,concrete,1399/04/21,371486
19182137,Contr_letter,Qom,Qom,apartment,4,Residential,110.82,100,11400000,102869.52,7,concrete,1399/04/21,371674
19182252,Contr_letter,Qom,Qom,apartment,,Residential,76.4,100,5850000,76570.68,11,concrete,1399/04/21,371313
19182434,Contr_letter,Qom,Qom,apartment,,Residential,63.36,100,1140000,17992.42,8,concrete,1399/04/22,371936
19182848,Contr_letter,Qom,Qom,apartment,1,Residential,109,100,7100000,65137.61,0,concrete,1399/04/22,371487
19182923,Contr_letter,Qom,Qom,apartment,,Residential,124.09,100,11500000,92674.67,4,concrete,1399/04/22,371565
19183296,Contr_letter,Qom,Qom,apartment,8,Residential,100,100,5300000,53000,7,concrete,1399/04/22,371168
19183513,Contr_letter,Qom,Qom,apartment,,Residential,108.7,100,12000000,110395.58,7,metallic,1399/04/22,371566
19183534,Contr_letter,Qom,Qom,apartment,8,Residential,86,100,4550000,52906.98,6,concrete,1399/04/22,371138
19183749,Contr_letter,Qom,Qom,apartment,,Residential,56.24,100,2990000,53165.01,14,metallic_&_concrete,1399/04/22,374911
19184256,Contr_letter,Qom,Qom,apartment,8,Residential,54.3,100,3050000,56169.43,4,concrete,1399/04/22,374916
19185159,Contr_letter,Qom,Qom,apartment,,Residential,127.03,100,13970000,109974.02,8,concrete,1399/04/22,371618
19185543,Contr_letter,Qom,Qom,apartment,,Residential,111.75,100,6500000,58165.55,11,concrete,1399/04/22,374915
19185670,Contr_letter,Qom,Qom,apartment,,Residential,100,100,8000000,80000,0,concrete,1399/04/22,371484
19187531,Contr_letter,Qom,Qom,apartment,8,Residential,88,100,5060000,57500,7,metallic_&_concrete,1399/04/22,371146
19188666,Contr_letter,Qom,Qom,apartment,8,Residential,99.34,100,5300000,53352.12,7,concrete,1399/04/22,371133
19189120,Contr_letter,Qom,Qom,apartment,3,Residential,145,20,15950000,22000,0,concrete,1399/04/22,371997
19189372,Contr_letter,Qom,Qom,apartment,,Residential,87,100,4280000,49195.4,8,concrete,1399/04/22,371167
19189480,Contr_letter,Qom,Qom,apartment,1,Residential,120,100,11320000,94333.33,0,concrete,1399/04/22,371677
19189653,Contr_letter,Qom,Qom,apartment,,Residential,127,100,11430000,90000,0,metallic_&_concrete,1399/04/22,371566
19189720,Contr_letter,Qom,Qom,apartment,3,Residential,145,20,15950000,22000,0,concrete,1399/04/22,371997
19190241,Contr_letter,Qom,Qom,apartment,,Residential,62,100,1500000,24193.55,9,metallic,1399/04/23,371133
19190365,Contr_letter,Qom,Qom,apartment,,Residential,62.71,100,3150000,50231.22,14,concrete,1399/04/23,371168
19191024,Contr_letter,Qom,Qom,apartment,8,Residential,102.13,100,5750000,56300.79,8,metallic,1399/04/23,374916
19191589,Contr_letter,Qom,Qom,apartment,,Residential,61.47,100,5200000,84594.11,13,metallic_&_concrete,1399/04/23,371313
19191693,Contr_letter,Qom,Qom,apartment,8,Residential,130,100,8100000,62307.69,5,metallic_&_concrete,1399/04/23,374914
19191988,Contr_letter,Qom,Qom,apartment,8,Residential,64,100,3530000,55156.25,8,concrete,1399/04/23,371135
19192349,Contr_letter,Qom,Qom,apartment,2,Residential,112.6,100,10100000,89698.05,3,concrete,1399/04/23,371396
19192573,Contr_letter,Qom,Qom,apartment,8,Residential,63.63,100,3500000,55005.5,3,concrete,1399/04/23,371137
19193152,Contr_letter,Qom,Qom,apartment,8,Residential,80,100,3885000,48562.5,10,metallic_&_concrete,1399/04/23,371133
19193708,Contr_letter,Qom,Qom,apartment,8,Residential,78.43,100,4008000,51102.89,10,concrete,1399/04/23,374917
19195082,Contr_letter,Qom,Qom,apartment,,Residential,79,100,3550000,44936.71,5,concrete,1399/04/23,371133
19195240,Contr_letter,Qom,Qom,apartment,,Residential,100,100,3150000,31500,0,concrete,1399/04/23,371485
19196253,Contr_letter,Qom,Qom,apartment,,Residential,111,100,8800000,79279.28,0,metallic,1399/04/23,371798
19196637,Contr_letter,Qom,Qom,apartment,,Residential,95,100,9650000,101578.95,0,concrete,1399/04/23,371313
19196790,Contr_letter,Qom,Qom,apartment,,Residential,111.63,100,15500000,138851.56,3,concrete,1399/04/23,371614
19197013,Contr_letter,Qom,Qom,apartment,,Residential,61.22,100,4000000,65338.12,6,concrete,1399/04/23,371484
19197078,Contr_letter,Qom,Qom,apartment,,Residential,60.83,100,3380000,55564.69,5,concrete,1399/04/23,371137
19197238,Contr_letter,Qom,Qom,apartment,8,Residential,80,100,4960000,62000,11,metallic_&_concrete,1399/04/23,374915
19197248,Contr_letter,Qom,Qom,apartment,,Residential,61.41,100,2400000,39081.58,5,concrete,1399/04/23,371146
19197835,Contr_letter,Qom,Qom,apartment,8,Residential,80.27,100,4420000,55064.16,7,concrete,1399/04/24,374917
19197879,Contr_letter,Qom,Qom,apartment,5,Residential,112,100,6160000,55000,0,concrete,1399/04/24,371419
19198488,Contr_letter,Qom,Qom,apartment,,Residential,87,100,4570000,52528.74,7,concrete,1399/04/24,371137
19199373,Contr_letter,Qom,Qom,apartment,,Residential,85,100,3950000,46470.59,6,concrete,1399/04/24,371135
19199682,Contr_letter,Qom,Qom,apartment,8,Residential,79.8,100,4490000,56265.66,6,concrete,1399/04/24,374919
19200519,Contr_letter,Qom,Qom,apartment,,Residential,84.8,100,5000000,58962.26,6,concrete,1399/04/24,371998
19202235,Contr_letter,Qom,Qom,apartment,,Residential,115,100,9000000,78260.87,2,concrete,1399/04/24,371343
19202241,Contr_letter,Qom,Qom,apartment,8,Residential,105,100,7875000,75000,1,concrete,1399/04/24,374914
19202604,Contr_letter,Qom,Qom,apartment,8,Residential,73.17,100,4270000,58357.25,15,metallic,1399/04/24,374913
19202951,Contr_letter,Qom,Qom,apartment,,Residential,90.5,100,7700000,85082.87,12,concrete,1399/04/24,371313
19203250,Contr_letter,Qom,Qom,apartment,,Residential,117.91,100,11850000,100500.38,3,concrete,1399/04/24,371341
19203956,Contr_letter,Qom,Qom,apartment,8,Residential,78,100,4150000,53205.13,7,concrete,1399/04/24,371146
19203961,Contr_letter,Qom,Qom,apartment,,Residential,78.43,100,4450000,56738.49,10,concrete,1399/04/24,374917
19203969,Contr_letter,Qom,Qom,apartment,8,Residential,110,100,9350000,85000,0,concrete,1399/04/24,371165
19204319,Contr_letter,Qom,Qom,apartment,,Residential,127,100,11640000,91653.54,1,concrete,1399/04/24,371488
19204648,Contr_letter,Qom,Qom,apartment,8,Residential,78.82,100,4400000,55823.4,10,concrete,1399/04/24,374917
19205240,Contr_letter,Qom,Qom,apartment,,Residential,72.68,100,3680000,50632.91,9,concrete,1399/04/25,371131
19205720,Contr_letter,Qom,Qom,apartment,8,Residential,62.01,100,3300000,53217.22,7,concrete,1399/04/25,371135
19205823,Contr_letter,Qom,Qom,apartment,,Residential,100.17,100,6550000,65388.84,5,concrete,1399/04/25,371168
19206281,Contr_letter,Qom,Qom,apartment,8,Residential,90.8,100,5080000,55947.14,9,concrete,1399/04/25,374918
19206668,Contr_letter,Qom,Qom,apartment,8,Residential,93,100,4650000,50000,5,concrete,1399/04/25,371134
19206688,Contr_letter,Qom,Qom,apartment,,Residential,117.75,100,5700000,48407.64,14,metallic_&_concrete,1399/04/25,371717
19208425,Contr_letter,Qom,Qom,apartment,,Residential,72,100,3370000,46805.56,0,concrete,1399/04/25,371133
19209441,Contr_letter,Qom,Qom,apartment,8,Residential,71.19,100,3892800,54681.84,8,concrete,1399/04/25,371131
19209868,Contr_letter,Qom,Qom,apartment,,Residential,81,100,5670000,70000,0,concrete,1399/04/25,371487
19210214,Contr_letter,Qom,Qom,apartment,8,Residential,107.84,100,5400000,50074.18,13,concrete,1399/04/25,374915
19210561,Contr_letter,Qom,Qom,apartment,7,Residential,62.78,100,4000000,63714.56,14,metallic,1399/04/25,371867
19211518,Contr_letter,Qom,Qom,apartment,8,Residential,95,100,5150000,54210.53,5,metallic,1399/04/25,371134
19211674,Contr_letter,Qom,Qom,apartment,,Residential,180,100,19500000,108333.33,0,concrete,1399/04/25,371343
19211913,Contr_letter,Qom,Qom,apartment,4,Residential,130,100,14300000,110000,0,concrete,1399/04/25,371313
19212577,Contr_letter,Qom,Qom,apartment,8,Residential,137.52,100,9120000,66317.63,12,metallic,1399/04/26,374913
19213892,Contr_letter,Qom,Qom,apartment,,Residential,130,100,18200000,140000,0,concrete,1399/04/26,371614
19213979,Contr_letter,Qom,Qom,apartment,,Residential,72,100,3260000,45277.78,0,metallic,1399/04/26,371133
19214526,Contr_letter,Qom,Qom,apartment,8,Residential,80.8,100,4140000,51237.62,7,concrete,1399/04/26,371133
19214691,Contr_letter,Qom,Qom,apartment,,Residential,137,100,14300000,104379.56,0,concrete,1399/04/26,371341
19214951,Contr_letter,Qom,Qom,apartment,,Residential,116,100,14400000,124137.93,9,concrete,1399/04/26,371111
19215010,Contr_letter,Qom,Qom,apartment,4,Residential,94,100,11050000,117553.19,1,concrete,1399/04/26,371318
19215148,Contr_letter,Qom,Qom,apartment,8,Residential,83,100,3770000,45421.69,9,concrete,1399/04/26,371135
19215185,Contr_letter,Qom,Qom,apartment,8,Residential,103,100,6480000,62912.62,7,concrete,1399/04/26,371168
19215294,Contr_letter,Qom,Qom,apartment,4,Residential,100,100,920000,9200,1,concrete,1399/04/26,371679
19215593,Contr_letter,Qom,Qom,apartment,3,Residential,132,100,4500000,34090.91,1,metallic_&_concrete,1399/04/26,371516
19215636,Contr_letter,Qom,Qom,apartment,,Residential,76.86,100,4095000,53278.69,8,concrete,1399/04/26,371667
19216336,Contr_letter,Qom,Qom,apartment,,Residential,113,100,13250000,117256.64,2,concrete,1399/04/26,371595
19216752,Contr_letter,Qom,Qom,apartment,4,Residential,240,100,32300000,134583.33,0,concrete,1399/04/26,371613
19216885,Contr_letter,Qom,Qom,apartment,8,Residential,62,100,3315000,53467.74,6,concrete,1399/04/26,371136
19220346,Contr_letter,Qom,Qom,apartment,,Residential,85,100,9000000,105882.35,4,concrete,1399/04/28,371682
19220377,Contr_letter,Qom,Qom,apartment,4,Residential,89,100,8100000,91011.24,2,concrete,1399/04/28,371343
19220567,Contr_letter,Qom,Qom,apartment,1,Residential,101.06,100,9390000,92915.1,1,concrete,1399/04/28,371486
19220949,Contr_letter,Qom,Qom,apartment,,Residential,110,100,12650000,115000,0,concrete,1399/04/28,371313
19221130,Contr_letter,Qom,Qom,apartment,1,Residential,123,100,10900000,88617.89,0,concrete,1399/04/28,371488
19221374,Contr_letter,Qom,Qom,apartment,,Residential,78.81,100,4250000,53927.17,9,concrete,1399/04/28,371134
19221720,Contr_letter,Qom,Qom,apartment,,Residential,65,100,3900000,60000,0,concrete,1399/04/28,675465
19221726,Contr_letter,Qom,Qom,apartment,4,Residential,96.2,100,5780000,60083.16,8,concrete,1399/04/28,311111
19222249,Contr_letter,Qom,Qom,apartment,,Residential,63.49,100,3370000,53079.23,5,metallic_&_concrete,1399/04/28,371136
19222534,Contr_letter,Qom,Qom,apartment,,Residential,73.26,100,3900000,53235.05,9,concrete,1399/04/28,371165
19222546,Contr_letter,Qom,Qom,apartment,,Residential,78.8,100,3680000,46700.51,6,concrete,1399/04/28,374967
19224361,Contr_letter,Qom,Qom,apartment,,Residential,83,100,4290000,51686.75,4,concrete,1399/04/28,371168
19224509,Contr_letter,Qom,Qom,apartment,,Residential,80,100,3500000,43750,6,metallic_&_concrete,1399/04/28,371136
19224527,Contr_letter,Qom,Qom,apartment,,Residential,59.66,100,5300000,88836.74,14,metallic,1399/04/28,371596
19224738,Contr_letter,Qom,Qom,apartment,,Residential,93.89,100,9200000,97987.01,14,concrete,1399/04/28,371317
19224926,Contr_letter,Qom,Qom,apartment,,Residential,92,85,5110000,47211.96,6,concrete,1399/04/28,371137
19225117,Contr_letter,Qom,Qom,apartment,,Residential,85,66.67,3000000,23529.41,4,metallic_&_concrete,1399/04/28,371168
19225303,Contr_letter,Qom,Qom,apartment,8,Residential,95.96,100,6330000,65964.99,13,concrete,1399/04/28,374915
19225423,Contr_letter,Qom,Qom,apartment,,Residential,80.32,100,4230000,52664.34,9,concrete,1399/04/28,374917
19225819,Contr_letter,Qom,Qom,apartment,8,Residential,195.52,100,17600000,90016.37,0,concrete,1399/04/28,371166
19226057,Contr_letter,Qom,Qom,apartment,8,Residential,105.83,100,5800000,54804.88,10,metallic_&_concrete,1399/04/28,371313
19226761,Contr_letter,Qom,Qom,apartment,,Residential,73.52,100,6450000,87731.23,6,metallic,1399/04/28,371485
19228085,Contr_letter,Qom,Qom,apartment,,Residential,75,100,3530000,47066.67,7,concrete,1399/04/29,371137
19228336,Contr_letter,Qom,Qom,apartment,,Residential,75,100,3980000,53066.67,7,concrete,1399/04/29,371137
19228662,Contr_letter,Qom,Qom,apartment,1,Residential,127,100,12230000,96299.21,1,concrete,1399/04/29,371594
19228819,Contr_letter,Qom,Qom,apartment,8,Residential,87.04,100,5370000,61695.77,8,metallic_&_concrete,1399/04/29,374919
19228896,Contr_letter,Qom,Qom,apartment,4,Residential,105,100,7665000,73000,0,concrete,1399/04/29,371343
19229781,Contr_letter,Qom,Qom,apartment,,Residential,170,100,33000000,194117.65,3,concrete,1399/04/29,371668
19231670,Contr_letter,Qom,Qom,apartment,4,Residential,130,100,14950000,115000,0,concrete,1399/04/29,371313
19232318,Contr_letter,Qom,Qom,apartment,,Residential,109,100,8900000,81651.38,0,concrete,1399/04/29,371485
19233029,Contr_letter,Qom,Qom,apartment,,Residential,115,25,5750000,12500,9,metallic,1399/04/29,371431
19233848,Contr_letter,Qom,Qom,apartment,4,Residential,128.11,100,4000000,31223.17,9,concrete,1399/04/29,371313
19234017,Contr_letter,Qom,Qom,apartment,1,Residential,210.19,100,27324700,130000,1,concrete,1399/04/29,371917
19234175,Contr_letter,Qom,Qom,apartment,8,Residential,190,100,14000000,73684.21,0,concrete,1399/04/29,371166
19234286,Contr_letter,Qom,Qom,apartment,,Residential,122,100,5600000,45901.64,16,metallic_&_concrete,1399/04/30,371314
19234846,Contr_letter,Qom,Qom,apartment,8,Residential,59.65,100,3450000,57837.38,7,concrete,1399/04/30,371135
19235599,Contr_letter,Qom,Qom,apartment,8,Residential,62.71,100,3700000,59001.75,13,metallic,1399/04/30,374911
19235660,Contr_letter,Qom,Qom,apartment,8,Residential,81.15,100,4560000,56192.24,4,concrete,1399/04/30,371146
19235857,Contr_letter,Qom,Qom,apartment,,Residential,47.7,100,3800000,79664.57,9,metallic,1399/04/30,371915
19236435,Contr_letter,Qom,Qom,apartment,4,Residential,110,100,11350000,103181.82,0,concrete,1399/04/30,371679
19237077,Contr_letter,Qom,Qom,apartment,,Residential,105,100,10000000,95238.1,6,concrete,1399/04/30,371313
19237470,Contr_letter,Qom,Qom,apartment,,Residential,170,100,19300000,113529.41,2,concrete,1399/04/30,371679
19240237,Contr_letter,Qom,Qom,apartment,,Residential,102.97,100,8750000,84976.21,7,concrete,1399/04/30,371484
19240443,Contr_letter,Qom,Qom,apartment,,Residential,95.08,100,10640000,111905.76,3,concrete,1399/04/30,371919
19241173,Contr_letter,Qom,Qom,apartment,,Residential,76.36,100,4410000,57752.75,8,metallic_&_concrete,1399/04/30,374918
19241664,Contr_letter,Qom,Qom,apartment,1,Residential,85,100,7500000,88235.29,1,concrete,1399/04/31,371673
19241698,Contr_letter,Qom,Qom,apartment,4,Residential,134,100,14740000,110000,0,concrete,1399/04/31,371313
19242350,Contr_letter,Qom,Qom,apartment,8,Residential,100.28,100,7220000,71998.4,6,concrete,1399/04/31,374918
19244116,Contr_letter,Qom,Qom,apartment,,Residential,82.13,100,3605000,43893.83,6,metallic_&_concrete,1399/04/31,371168
19244539,Contr_letter,Qom,Qom,apartment,4,Residential,145,100,20300000,140000,0,concrete,1399/04/31,371617
19244568,Contr_letter,Qom,Qom,apartment,,Residential,63,100,3485000,55317.46,10,concrete,1399/04/31,371138
19244902,Contr_letter,Qom,Qom,apartment,8,Residential,76,100,3920000,51578.95,6,concrete,1399/04/31,374916
19245463,Contr_letter,Qom,Qom,apartment,8,Residential,78.82,100,4300000,54554.68,10,concrete,1399/04/31,374917
19245519,Contr_letter,Qom,Qom,apartment,,Residential,137.5,100,9200000,66909.09,1,metallic_&_concrete,1399/04/31,371366
19246726,Contr_letter,Qom,Qom,apartment,8,Residential,84.5,100,3490000,41301.78,7,concrete,1399/04/31,371133
19246980,Contr_letter,Qom,Qom,apartment,8,Residential,96,100,6050000,63020.83,5,concrete,1399/04/31,371168
19247263,Contr_letter,Qom,Qom,apartment,4,Residential,107,100,11230000,104953.27,1,concrete,1399/04/31,371111
19247459,Contr_letter,Qom,Qom,apartment,,Residential,104.29,100,12000000,115063.76,2,concrete,1399/04/31,371341
19247913,Contr_letter,Qom,Qom,apartment,8,Residential,94.4,100,5400000,57203.39,6,concrete,1399/04/31,371138
